20260818 20:49:53 |INFO|   标题: 崩坏：星穹铁道
20260818 20:49:53 |INFO|   尺寸: 1924x1140
20260818 20:49:53 |INFO| {'last_window_position': {'title': '崩坏：星穹铁道', 'class_name': 'UnityWndClass', 'rect': (478, 384, 2402, 1524), 'width': 1924, 'height': 1140}}
20260818 20:49:53 |INFO| 截图已保存到: D:\Program\PycharmProjects\AIAssistantProject\starrail_assistant\assets\images\common\screenshot.png
20260818 20:49:54 |INFO| ✓ 已删除: D:\Program\PycharmProjects\AIAssistantProject\starrail_assistant\assets\images\common\screenshot.png
20260818 20:49:54 |INFO| 找到StarRail.exe进程，PID: 29152
20260818 20:49:54 |INFO| 
找到主窗口:
20260818 20:49:54 |INFO|   标题: 崩坏：星穹铁道
20260818 20:49:54 |INFO|   尺寸: 1924x1140
20260818 20:49:54 |INFO| {'last_window_position': {'title': '崩坏：星穹铁道', 'class_name': 'UnityWndClass', 'rect': (478, 384, 2402, 1524), 'width': 1924, 'height': 1140}}
20260818 20:49:54 |INFO| 截图已保存到: D:\Program\PycharmProjects\AIAssistantProject\starrail_assistant\assets\images\common\screenshot.png
20260818 20:49:54 |INFO| ✓ 已删除: D:\Program\PycharmProjects\AIAssistantProject\starrail_assistant\assets\images\common\shot1.png
20260818 20:49:54 |INFO| 找到StarRail.exe进程，PID: 29152
20260818 20:49:54 |INFO| 
找到主窗口:
20260818 20:49:54 |INFO|   标题: 崩坏：星穹铁道
20260818 20:49:54 |INFO|   尺寸: 1924x1140
20260818 20:49:54 |INFO| {'last_window_position': {'title': '崩坏：星穹铁道', 'class_name': 'UnityWndClass', 'rect': (478, 384, 2402, 1524), 'width': 1924, 'height': 1140}}
20260818 20:49:55 |INFO| 截图已保存到: D:\Program\PycharmProjects\AIAssistantProject\starrail_assistant\assets\images\common\shot1.png
20260818 20:49:55 |INFO| ✓ 已删除: D:\Program\PycharmProjects\AIAssistantProject\starrail_assistant\assets\images\common\screenshot.png
20260818 20:49:55 |INFO| 找到StarRail.exe进程，PID: 29152
20260818 20:49:55 |INFO| 
找到主窗口:
20260818 20:49:55 |INFO|   标题: 崩坏：星穹铁道
20260818 20:49:55 |INFO|   尺寸: 1924x1140
20260818 20:49:55 |INFO| {'last_window_position': {'title': '崩坏：星穹铁道', 'class_name': 'UnityWndClass', 'rect': (478, 384, 2402, 1524), 'width': 1924, 'height': 1140}}
20260818 20:49:55 |INFO| 截图已保存到: D:\Program\PycharmProjects\AIAssistantProject\starrail_assistant\assets\images\common\screenshot.png
20260818 20:49:55 |INFO| ✓ 已删除: D:\Program\PycharmProjects\AIAssistantProject\starrail_assistant\assets\images\common\screenshot.png
20260818 20:49:55 |INFO| 找到StarRail.exe进程，PID: 29152
20260818 20:49:55 |INFO| 
找到主窗口:
20260818 20:49:55 |INFO|   标题: 崩坏：星穹铁道
20260818 20:49:55 |INFO|   尺寸: 1924x1140
20260818 20:49:55 |INFO| {'last_window_position': {'title': '崩坏：星穹铁道', 'class_name': 'UnityWndClass', 'rect': (478, 384, 2402, 1524), 'width': 1924, 'height': 1140}}
20260818 20:49:55 |INFO| 截图已保存到: D:\Program\PycharmProjects\AIAssistantProject\starrail_assistant\assets\images\common\screenshot.png
20260818 20:50:03 |INFO| ✓ 已删除: D:\Program\PycharmProjects\AIAssistantProject\starrail_assistant\assets\images\common\shot2.png
20260818 20:50:03 |INFO| 找到StarRail.exe进程，PID: 29152
20260818 20:50:03 |INFO| 
找到主窗口:
20260818 20:50:03 |INFO|   标题: 崩坏：星穹铁道
20260818 20:50:03 |INFO|   尺寸: 1924x1140
20260818 20:50:03 |INFO| {'last_window_position': {'title': '崩坏：星穹铁道', 'class_name': 'UnityWndClass', 'rect': (478, 384, 2402, 1524), 'width': 1924, 'height': 1140}}
20260818 20:50:03 |INFO| 截图已保存到: D:\Program\PycharmProjects\AIAssistantProject\starrail_assistant\assets\images\common\shot2.png
20260818 20:50:12 |INFO| ✓ 已删除: D:\Program\PycharmProjects\AIAssistantProject\starrail_assistant\assets\images\common\screenshot.png
20260818 20:50:12 |INFO| 找到StarRail.exe进程，PID: 29152
20260818 20:50:12 |INFO| 
找到主窗口:
20260818 20:50:12 |INFO|   标题: 崩坏：星穹铁道
20260818 20:50:12 |INFO|   尺寸: 1924x1140
20260818 20:50:12 |INFO| {'last_window_position': {'title': '崩坏：星穹铁道', 'class_name': 'UnityWndClass', 'rect': (478, 384, 2402, 1524), 'width': 1924, 'height': 1140}}
20260818 20:50:12 |INFO| 截图已保存到: D:\Program\PycharmProjects\AIAssistantProject\starrail_assistant\assets\images\common\screenshot.png
20260818 20:50:15 |INFO| 领取实训奖励
